Date,Close,Market
1992-07-22,3277.600098,djia
1992-07-23,3290.0,djia
1992-07-24,3285.699951,djia
1992-07-27,3282.199951,djia
1992-07-28,3334.100098,djia
1992-07-29,3379.1999509999996,djia
1992-07-30,3391.899902,djia
1992-07-31,3393.8000490000004,djia
1992-08-03,3395.399902,djia
1992-08-04,3384.3000490000004,djia
1992-08-05,3365.100098,djia
1992-08-06,3340.600098,djia
1992-08-07,3332.199951,djia
1992-08-10,3337.560059,djia
1992-08-11,3331.100098,djia
1992-08-12,3320.800049,djia
1992-08-13,3313.300049,djia
1992-08-14,3328.899902,djia
1992-08-17,3324.899902,djia
1992-08-18,3329.5,djia
1992-08-19,3307.100098,djia
1992-08-20,3304.899902,djia
1992-08-21,3254.100098,djia
1992-08-24,3228.199951,djia
1992-08-25,3232.199951,djia
1992-08-26,3246.800049,djia
1992-08-27,3254.600098,djia
1992-08-28,3267.600098,djia
1992-08-31,3257.399902,djia
1992-09-01,3266.26001,djia
1992-09-02,3290.300049,djia
1992-09-03,3292.199951,djia
1992-09-04,3281.899902,djia
1992-09-08,3260.600098,djia
1992-09-09,3271.399902,djia
1992-09-10,3305.199951,djia
1992-09-11,3305.699951,djia
1992-09-14,3376.1999509999996,djia
1992-09-15,3327.300049,djia
1992-09-16,3319.199951,djia
1992-09-17,3315.699951,djia
1992-09-18,3327.100098,djia
1992-09-21,3320.800049,djia
1992-09-22,3280.899902,djia
1992-09-23,3278.699951,djia
1992-09-24,3287.899902,djia
1992-09-25,3250.300049,djia
1992-09-28,3276.26001,djia
1992-09-29,3266.800049,djia
1992-09-30,3271.699951,djia
1992-10-01,3254.399902,djia
1992-10-02,3200.600098,djia
1992-10-05,3179.0,djia
1992-10-06,3178.199951,djia
1992-10-07,3152.300049,djia
1992-10-08,3176.0,djia
1992-10-09,3136.600098,djia
1992-10-12,3174.399902,djia
1992-10-13,3201.399902,djia
1992-10-14,3195.5,djia
1992-10-15,3174.699951,djia
1992-10-16,3174.399902,djia
1992-10-19,3188.5,djia
1992-10-20,3186.0,djia
1992-10-21,3187.100098,djia
1992-10-22,3200.899902,djia
1992-10-23,3207.600098,djia
1992-10-26,3244.100098,djia
1992-10-27,3235.699951,djia
1992-10-28,3251.399902,djia
1992-10-29,3246.300049,djia
1992-10-30,3226.300049,djia
1992-11-02,3262.199951,djia
1992-11-03,3252.5,djia
1992-11-04,3223.0,djia
1992-11-05,3243.800049,djia
1992-11-06,3240.100098,djia
1992-11-09,3240.899902,djia
1992-11-10,3225.5,djia
1992-11-11,3240.300049,djia
